Data,Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Father's Name,Mother's Name,Mother's Maiden Name,Date of Birth,Time of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,Month of Joining,Month Name of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,Last % Hike,SSN,Phone No. ,Province ID,User Name,Password
0,612850,Ms.,Bethany,Z,Cline,F,bethany.cline@yahoo.ca,Eddie Cline,Deanne Cline,Gordon,10/1/1986,5:22:21 AM,30.84,48,4/19/2008,Q2,H1,2008,4,April,Apr,19,Saturday,Sat,9.28,154836,21%,700-18-6519,215-970-5881,27,bzcline,6wvl^0+zl.b/1
1,483751,Prof.,Reid,F,Randolph,M,reid.randolph@gmail.com,Grover Randolph,Erika Randolph,Melendez,1/20/1989,11:39:31 PM,28.54,78,4/8/2017,Q2,H1,2017,4,April,Apr,8,Saturday,Sat,0.3,124757,17%,343-11-4951,209-996-8902,13,rfrandolph,Uc@^[]cqnZs
1,252938,Hon.,Antoine,H,Wiley,M,antoine.wiley@verizon.net,Frances Wiley,Naomi Wiley,Kirby,2/22/1996,6:29:11 PM,21.44,61,4/18/2017,Q2,H1,2017,4,April,Apr,18,Tuesday,Tue,0.28,58733,24%,078-02-8772,503-361-6334,18,ahwiley,r~4%7~uU|I<4CJ
1,966375,Dr.,Mathew,O,Hodge,M,mathew.hodge@hotmail.com,Prince Hodge,Regina Hodge,Henderson,7/5/1995,3:24:44 PM,22.08,89,11/11/2016,Q4,H2,2016,11,November,Nov,11,Friday,Fri,0.71,75584,14%,161-86-9547,209-294-7430,15,mohodge,1E7oKc:M!cKsgq
1,707520,Mr.,Bernardo,L,Austin,M,bernardo.austin@hotmail.com,Lowell Austin,Shauna Austin,Humphrey,2/2/1975,11:18:06 PM,42.51,64,1/26/2005,Q1,H1,2005,1,January,Jan,26,Wednesday,Wed,12.51,118693,15%,143-23-9034,319-716-4227,28,blaustin,S:An&6n%>s!
1,673049,Dr.,Cole,E,Jensen,M,cole.jensen@aol.com,Terence Jensen,Belinda Jensen,Brown,2/10/1990,7:36:01 PM,27.48,74,5/30/2011,Q2,H1,2011,5,May,May,30,Monday,Mon,6.17,98381,22%,762-12-1934,405-495-4201,34,cejensen,C@#*|0ODx{7%bc
0,265124,Ms.,Tonia,J,Burns,F,tonia.burns@gmail.com,Johnathan Burns,Brianna Burns,Lester,4/19/1985,10:44:02 PM,32.3,50,9/12/2014,Q3,H2,2014,9,September,Sep,12,Friday,Fri,2.88,102274,19%,093-02-0725,209-631-5424,18,tjburns,0bGtW[zHT?eSq\N
0,300693,Mr.,Tod,N,Holcomb,M,tod.holcomb@outlook.com,Gail Holcomb,Beulah Holcomb,Keller,6/21/1987,5:10:47 AM,30.12,76,6/5/2015,Q2,H1,2015,6,June,Jun,5,Friday,Fri,2.15,91719,3%,770-02-9125,240-364-4220,5,tnholcomb,205oA^B^
0,369712,Mrs.,Yesenia,B,Guerrero,F,yesenia.guerrero@btinternet.com,Alfred Guerrero,Lori Guerrero,Joyner,3/29/1968,4:24:45 PM,49.36,41,3/3/1994,Q1,H1,1994,3,March,Mar,3,Thursday,Thu,23.42,150016,4%,494-29-3248,240-505-5321,25,ybguerrero,R:%7@}wYr$
0,913253,Mr.,Carey,B,Ferrell,M,carey.ferrell@yahoo.com,Robby Ferrell,Christi Ferrell,Bradshaw,5/22/1972,4:16:53 PM,45.21,87,10/30/2004,Q4,H2,2004,10,October,Oct,30,Saturday,Sat,12.75,125232,5%,522-99-2018,212-495-4523,2,cbferrell,U~BdKWV?i.
1,308617,Mrs.,Aileen,D,Blanchard,F,aileen.blanchard@gmail.com,Kurt Blanchard,Virgie Blanchard,Christian,12/5/1986,11:18:17 AM,30.67,49,7/18/2009,Q3,H2,2009,7,July,Jul,18,Saturday,Sat,8.03,179264,13%,401-73-0903,308-788-3843,21,adblanchard,y^c.5-
1,766783,Mrs.,Marta,N,Cervantes,F,marta.cervantes@gmail.com,Fletcher Cervantes,Hazel Cervantes,Singleton,2/17/1971,8:46:37 AM,46.47,48,9/17/2016,Q3,H2,2016,9,September,Sep,17,Saturday,Sat,0.86,68134,14%,530-99-5537,206-858-9176,1,mncervantes,qUe$H{X:O{hd
1,959506,Mr.,Arthur,Q,Holloway,M,arthur.holloway@aol.com,Reggie Holloway,Rosemarie Holloway,Pope,9/21/1970,11:57:43 PM,46.88,65,1/27/2004,Q1,H1,2004,1,January,Jan,27,Tuesday,Tue,13.51,118621,6%,210-84-4283,225-832-0451,27,aqholloway,n<@dGdwIzUwvPk
0,513011,Ms.,Tara,Y,Forbes,F,tara.forbes@gmail.com,Davis Forbes,Elvia Forbes,Gonzalez,6/26/1976,7:47:36 PM,41.12,55,9/24/2009,Q3,H2,2009,9,September,Sep,24,Thursday,Thu,7.85,85864,26%,249-99-1301,319-249-4281,13,tyforbes,Y%4awtgN^R
1,290808,Mr.,Josef,S,Griffin,M,josef.griffin@yahoo.com,Dee Griffin,Leonor Griffin,Glass,8/14/1976,4:28:48 AM,40.98,73,2/25/1998,Q1,H1,1998,2,February,Feb,25,Wednesday,Wed,19.43,98030,30%,263-99-4192,209-441-9130,19,jsgriffin,s#m$4tEDNy.WlWS
0,253588,Ms.,Keri,J,Slater,F,keri.slater@apple.com,Tyler Slater,Jeanne Slater,Bowman,8/3/1960,11:14:40 AM,57.02,58,8/9/1994,Q3,H2,1994,8,August,Aug,9,Tuesday,Tue,22.98,149842,10%,391-33-2772,207-842-2965,5,kjslater,s//}_Fg#2%3myC
0,865628,Mr.,Desmond,R,Wynn,M,desmond.wynn@hotmail.com,Louis Wynn,Marianne Wynn,Dennis,7/9/1992,4:39:00 AM,25.07,58,10/1/2013,Q4,H2,2013,10,October,Oct,1,Tuesday,Tue,3.82,79476,9%,672-48-8042,209-319-3405,11,drwynn,7<mlnx<s+rU7
0,583924,Mrs.,Adrienne,H,Puckett,F,adrienne.puckett@verizon.net,Fletcher Puckett,Nicole Puckett,Barron,5/22/1975,11:45:23 AM,42.21,47,2/22/1997,Q1,H1,1997,2,February,Feb,22,Saturday,Sat,20.44,105366,25%,218-89-2915,209-235-0390,14,ahpuckett,lI+
1,932453,Mrs.,Beatriz,I,Knowles,F,beatriz.knowles@gmail.com,Jackson Knowles,Ava Knowles,Horton,2/25/1984,12:06:41 PM,33.44,49,9/16/2011,Q3,H2,2011,9,September,Sep,16,Friday,Fri,5.87,53311,18%,708-18-8763,406-923-1326,28,biknowles,HGrMUb9]YhisE
1,432168,Hon.,Jermaine,S,Sykes,M,jermaine.sykes@apple.com,Garth Sykes,Sheila Sykes,Dorsey,1/18/1990,4:48:36 AM,27.54,51,5/24/2016,Q2,H1,2016,5,May,May,24,Tuesday,Tue,1.18,122631,5%,558-99-4351,239-204-8747,7,jssykes,0U_0M\tj[m6gC
